"","time_point","sentiment","X","nomem_encr","date","follow_the_news_tv.radio","follow_the_news_internet","follow_the_news_free.newspaper","follow_the_news_paid.newspaper","follow_the_news_not.hardly","follow_the_news_dont_know","interested_in_the_news","confidence_dutch_parliament","confidence_eu_parliament","rural_urban","education","age","news_consumption","cohort","edu","urb","trust_eu_levels","sentiment_binary"
"9899","Period 3",0.0268292296600567,63935,885185,"2020-12-01",1,1,0,0,0,0,2,3,0,2,2,49,FALSE,"Age 30-55","Low","Urban","Low","Positive"
"9900","Period 3",0.0268292296600567,63936,885198,"2020-12-01",1,1,0,1,0,0,1,8,6,5,2,69,TRUE,"Age 56+","Low","Rural","Medium","Positive"
"9901","Period 3",0.0268292296600567,64301,891333,"2020-12-01",1,1,0,1,0,0,1,5,5,4,2,73,TRUE,"Age 56+","Low","Rural","Medium","Positive"
"9902","Period 3",0.0268292296600567,63938,885226,"2020-12-01",1,1,0,0,0,0,1,6,0,2,5,71,FALSE,"Age 56+","Medium","Urban","Low","Positive"
"9903","Period 3",0.0268292296600567,63939,885238,"2020-12-01",1,0,0,1,0,0,2,5,7,5,2,58,TRUE,"Age 56+","Low","Rural","High","Positive"
"9904","Period 3",0.0268292296600567,63940,885244,"2020-12-01",1,1,0,0,0,0,1,6,6,2,5,72,FALSE,"Age 56+","Medium","Urban","Medium","Positive"
"9905","Period 3",0.0268292296600567,63941,885250,"2020-12-01",1,0,0,0,0,0,1,8,7,5,2,74,FALSE,"Age 56+","Low","Rural","High","Positive"
"9906","Period 3",0.0268292296600567,63942,885281,"2020-12-01",0,1,0,1,0,0,2,0,0,1,1,76,TRUE,"Age 56+","Low","Urban","Low","Positive"
"9907","Period 3",0.0268292296600567,64307,891440,"2020-12-01",1,1,0,1,0,0,1,6,8,2,5,69,TRUE,"Age 56+","Medium","Urban","High","Positive"
"9908","Period 3",0.0268292296600567,64429,893579,"2020-12-01",1,1,0,1,0,0,1,7,6,1,5,67,TRUE,"Age 56+","Medium","Urban","Medium","Positive"
"9909","Period 3",0.0268292296600567,64309,891461,"2020-12-01",1,1,0,0,0,0,2,6,6,4,4,56,FALSE,"Age 56+","Medium","Rural","Medium","Positive"
"9910","Period 3",0.0268292296600567,63946,885327,"2020-12-01",1,1,0,1,0,0,1,6,3,2,5,53,TRUE,"Age 30-55","Medium","Urban","Low","Positive"
"9911","Period 3",0.0268292296600567,63947,885375,"2020-12-01",1,1,0,0,0,0,2,6,0,5,4,48,FALSE,"Age 30-55","Medium","Rural","Low","Positive"
"9912","Period 3",0.0268292296600567,63948,885379,"2020-12-01",1,1,0,0,0,0,1,7,6,4,4,44,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"9913","Period 3",0.0268292296600567,63949,885388,"2020-12-01",1,1,0,0,0,0,2,8,7,5,6,22,FALSE,"Age 16-29","High","Rural","High","Positive"
"9914","Period 3",0.0268292296600567,64678,898199,"2020-12-01",1,1,0,0,0,0,1,6,6,2,4,26,FALSE,"Age 16-29","Medium","Urban","Medium","Positive"
"9915","Period 3",0.0268292296600567,63951,885467,"2020-12-01",1,1,0,1,0,0,1,6,3,2,6,52,TRUE,"Age 30-55","High","Urban","Low","Positive"
"9916","Period 3",0.0268292296600567,64316,891650,"2020-12-01",1,0,0,0,0,0,2,6,6,4,4,36,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"9917","Period 3",0.0268292296600567,63953,885524,"2020-12-01",1,1,0,0,0,0,2,6,5,4,5,29,FALSE,"Age 16-29","Medium","Rural","Medium","Positive"
"9918","Period 3",0.0268292296600567,63954,885546,"2020-12-01",1,1,0,0,0,0,2,2,2,4,4,54,FALSE,"Age 30-55","Medium","Rural","Low","Positive"
"9919","Period 3",0.0268292296600567,63955,885552,"2020-12-01",1,1,0,0,0,0,1,1,4,4,2,79,FALSE,"Age 56+","Low","Rural","Medium","Positive"
"9920","Period 3",0.0268292296600567,63956,885556,"2020-12-01",1,0,0,0,0,0,2,6,6,2,5,42,FALSE,"Age 30-55","Medium","Urban","Medium","Positive"
"9921","Period 3",0.0268292296600567,63957,885623,"2020-12-01",1,1,1,0,0,0,-9,6,5,2,4,55,TRUE,"Age 30-55","Medium","Urban","Medium","Positive"
"9922","Period 3",0.0268292296600567,63958,885625,"2020-12-01",1,1,0,0,0,0,1,7,6,3,5,41,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"9923","Period 3",0.0268292296600567,63959,885634,"2020-12-01",1,1,0,1,0,0,1,5,1,3,5,55,TRUE,"Age 30-55","Medium","Rural","Low","Positive"
"9924","Period 3",0.0268292296600567,64324,891833,"2020-12-01",1,0,0,1,0,0,1,8,7,2,4,76,TRUE,"Age 56+","Medium","Urban","High","Positive"
"9925","Period 3",0.0268292296600567,64689,898416,"2020-12-01",1,0,0,0,0,0,2,7,6,5,2,69,FALSE,"Age 56+","Low","Rural","Medium","Positive"
"9926","Period 3",0.0268292296600567,64326,891870,"2020-12-01",1,1,0,0,0,0,1,8,7,1,6,33,FALSE,"Age 30-55","High","Urban","High","Positive"
"9927","Period 3",0.0268292296600567,63963,885690,"2020-12-01",1,1,0,0,0,0,1,8,0,4,5,63,FALSE,"Age 56+","Medium","Rural","Low","Positive"
"9928","Period 3",0.0268292296600567,64570,896151,"2020-12-01",1,1,0,1,0,0,1,8,8,4,6,68,TRUE,"Age 56+","High","Rural","High","Positive"
"9929","Period 3",0.0268292296600567,64693,898474,"2020-12-01",0,0,0,0,1,0,3,7,5,3,1,16,FALSE,"Age 16-29","Low","Rural","Medium","Positive"
"9930","Period 3",0.0268292296600567,64330,891973,"2020-12-01",1,1,0,0,0,0,2,8,7,3,2,82,FALSE,"Age 56+","Low","Rural","High","Positive"
"9931","Period 3",0.0268292296600567,64088,887849,"2020-12-01",1,1,0,0,0,0,1,8,9,3,5,23,FALSE,"Age 16-29","Medium","Rural","High","Positive"
"9932","Period 3",0.0268292296600567,64332,892019,"2020-12-01",1,0,0,1,0,0,2,8,4,3,2,71,TRUE,"Age 56+","Low","Rural","Medium","Positive"
"9933","Period 3",0.0268292296600567,63969,885797,"2020-12-01",0,1,0,0,0,0,2,5,3,2,5,30,FALSE,"Age 30-55","Medium","Urban","Low","Positive"
"9934","Period 3",0.0268292296600567,64576,896276,"2020-12-01",1,0,0,0,0,0,2,5,1,3,4,53,FALSE,"Age 30-55","Medium","Rural","Low","Positive"
"9935","Period 3",0.0268292296600567,63971,885879,"2020-12-01",1,0,0,0,0,0,2,5,2,5,2,87,FALSE,"Age 56+","Low","Rural","Low","Positive"
"9936","Period 3",0.0268292296600567,64336,892102,"2020-12-01",1,1,0,0,0,0,1,8,6,4,6,76,FALSE,"Age 56+","High","Rural","Medium","Positive"
"9937","Period 3",0.0268292296600567,64700,898544,"2020-12-01",1,1,0,0,0,0,1,6,4,2,3,40,FALSE,"Age 30-55","Medium","Urban","Medium","Positive"
"9938","Period 3",0.0268292296600567,64580,896334,"2020-12-01",0,1,0,0,0,0,2,8,8,1,4,40,FALSE,"Age 30-55","Medium","Urban","High","Positive"
"9939","Period 3",0.0268292296600567,64339,892144,"2020-12-01",1,1,0,1,0,0,1,6,6,1,4,70,TRUE,"Age 56+","Medium","Urban","Medium","Positive"
"9940","Period 3",0.0268292296600567,64097,888024,"2020-12-01",1,1,0,1,0,0,2,5,4,5,2,71,TRUE,"Age 56+","Low","Rural","Medium","Positive"
"9941","Period 3",0.0268292296600567,64219,890029,"2020-12-01",1,0,0,0,0,0,2,7,7,3,4,73,FALSE,"Age 56+","Medium","Rural","High","Positive"
"9942","Period 3",0.0268292296600567,64341,892173,"2020-12-01",1,0,0,0,0,0,2,7,6,2,2,51,FALSE,"Age 30-55","Low","Urban","Medium","Positive"
"9943","Period 3",0.0268292296600567,64504,895147,"2020-12-01",1,0,0,0,0,0,1,6,5,4,4,52,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"9944","Period 3",0.0268292296600567,64344,892207,"2020-12-01",1,1,0,0,0,0,2,6,4,2,3,30,FALSE,"Age 30-55","Medium","Urban","Medium","Positive"
"9945","Period 3",0.0268292296600567,63981,886043,"2020-12-01",1,1,0,0,0,0,1,7,7,3,4,65,FALSE,"Age 56+","Medium","Rural","High","Positive"
"9946","Period 3",0.0268292296600567,64103,888162,"2020-12-01",1,1,0,0,0,0,1,8,7,4,5,56,FALSE,"Age 56+","Medium","Rural","High","Positive"
"9947","Period 3",0.0268292296600567,64225,890103,"2020-12-01",1,1,0,0,0,0,2,4,5,5,3,70,FALSE,"Age 56+","Medium","Rural","Medium","Positive"
"9948","Period 3",0.0268292296600567,64105,888171,"2020-12-01",1,1,0,0,0,0,2,6,3,3,4,50,FALSE,"Age 30-55","Medium","Rural","Low","Positive"
"9949","Period 3",0.0268292296600567,64106,888189,"2020-12-01",1,1,0,0,0,0,1,9,7,5,5,72,FALSE,"Age 56+","Medium","Rural","High","Positive"
"9950","Period 3",0.0268292296600567,63986,886121,"2020-12-01",1,1,0,0,0,0,1,2,0,3,4,43,FALSE,"Age 30-55","Medium","Rural","Low","Positive"
"9951","Period 3",0.0268292296600567,63987,886122,"2020-12-01",1,1,0,1,0,0,1,6,6,1,5,62,TRUE,"Age 56+","Medium","Urban","Medium","Positive"
"9952","Period 3",0.0268292296600567,63988,886166,"2020-12-01",1,1,0,0,0,0,1,4,6,1,4,41,FALSE,"Age 30-55","Medium","Urban","Medium","Positive"
"9953","Period 3",0.0268292296600567,64474,894485,"2020-12-01",1,1,0,1,0,0,1,7,7,3,5,57,TRUE,"Age 56+","Medium","Rural","High","Positive"
"9954","Period 3",0.0268292296600567,64111,888238,"2020-12-01",0,0,0,0,1,0,-9,3,5,5,5,54,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"9955","Period 3",0.0268292296600567,64597,896746,"2020-12-01",1,1,0,0,0,0,2,3,2,4,5,35,FALSE,"Age 30-55","Medium","Rural","Low","Positive"
"9956","Period 3",0.0268292296600567,64477,894522,"2020-12-01",1,0,0,1,0,0,2,7,5,5,4,61,TRUE,"Age 56+","Medium","Rural","Medium","Positive"
"9957","Period 3",0.0268292296600567,64033,886889,"2020-12-01",1,1,0,0,0,0,2,6,3,1,3,56,FALSE,"Age 56+","Medium","Urban","Low","Positive"
"9958","Period 3",0.0268292296600567,63994,886286,"2020-12-01",1,1,0,0,0,0,2,5,5,2,4,41,FALSE,"Age 30-55","Medium","Urban","Medium","Positive"
"9959","Period 3",0.0268292296600567,63995,886291,"2020-12-01",1,1,0,0,0,0,2,1,1,2,4,47,FALSE,"Age 30-55","Medium","Urban","Low","Positive"
"9960","Period 3",0.0268292296600567,63996,886297,"2020-12-01",1,1,0,0,0,0,2,8,6,1,5,41,FALSE,"Age 30-55","Medium","Urban","Medium","Positive"
"9961","Period 3",0.0268292296600567,64361,892461,"2020-12-01",1,1,0,0,0,0,1,8,7,1,5,33,FALSE,"Age 30-55","Medium","Urban","High","Positive"
"9962","Period 3",0.0268292296600567,64362,892471,"2020-12-01",1,1,0,1,0,0,1,5,5,5,4,69,TRUE,"Age 56+","Medium","Rural","Medium","Positive"
"9963","Period 3",0.0268292296600567,64363,892476,"2020-12-01",1,0,0,0,0,0,2,7,6,5,2,66,FALSE,"Age 56+","Low","Rural","Medium","Positive"
"9964","Period 3",0.0268292296600567,64364,892477,"2020-12-01",1,1,0,0,0,0,1,7,6,3,2,56,FALSE,"Age 56+","Low","Rural","Medium","Positive"
"9965","Period 3",0.0268292296600567,64243,890397,"2020-12-01",0,1,0,0,0,0,2,6,8,2,4,55,FALSE,"Age 30-55","Medium","Urban","High","Positive"
"9966","Period 3",0.0268292296600567,64366,892504,"2020-12-01",1,0,0,0,0,0,2,7,6,3,4,54,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"9967","Period 3",0.0268292296600567,64488,894750,"2020-12-01",1,0,0,1,0,0,1,9,7,2,2,86,TRUE,"Age 56+","Low","Urban","High","Positive"
"9968","Period 3",0.0268292296600567,64125,888507,"2020-12-01",1,1,0,0,0,0,1,8,7,2,4,67,FALSE,"Age 56+","Medium","Urban","High","Positive"
"9969","Period 3",0.0268292296600567,64490,894808,"2020-12-01",1,0,0,0,0,0,1,9,6,4,2,58,FALSE,"Age 56+","Low","Rural","Medium","Positive"
"9970","Period 3",0.0268292296600567,64734,899076,"2020-12-01",1,1,0,0,0,0,2,6,6,5,5,45,FALSE,"Age 30-55","Medium","Rural","Medium","Positive"
"9971","Period 3",0.0268292296600567,64007,886426,"2020-12-01",0,1,0,0,0,0,2,6,3,1,5,66,FALSE,"Age 56+","Medium","Urban","Low","Positive"
"9972","Period 3",0.0268292296600567,64008,886428,"2020-12-01",1,0,0,0,0,0,2,1,6,3,3,24,FALSE,"Age 16-29","Medium","Rural","Medium","Positive"
"9973","Period 3",0.0268292296600567,64009,886453,"2020-12-01",0,1,0,0,0,0,2,3,6,5,3,29,FALSE,"Age 16-29","Medium","Rural","Medium","Positive"
"9974","Period 3",0.0268292296600567,64374,892761,"2020-12-01",1,0,0,1,0,0,1,8,4,2,4,80,TRUE,"Age 56+","Medium","Urban","Medium","Positive"
"9975","Period 3",0.0268292296600567,64011,886483,"2020-12-01",1,1,0,0,0,0,1,7,5,1,5,42,FALSE,"Age 30-55","Medium","Urban","Medium","Positive"
"9976","Period 3",0.0268292296600567,64376,892776,"2020-12-01",1,1,0,1,0,0,2,7,7,2,4,57,TRUE,"Age 56+","Medium","Urban","High","Positive"
"9977","Period 3",0.0268292296600567,64013,886495,"2020-12-01",1,1,0,0,0,0,1,7,7,5,5,80,FALSE,"Age 56+","Medium","Rural","High","Positive"
